# CoordinateSystem: PROJCS["ETRS89 / UTM zone 32N",GEOGCS["ETRS89",DATUM["European Terrestrial Reference System 1989",SPHEROID["GRS 1980",6378137,298.257222101,AUTHORITY["EPSG","7019"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6258"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4258"]],PROJECTION["Transverse_Mercator",AUTHORITY["EPSG","9807"]],PARAMETER["latitude_of_origin",0],PARAMETER["central_meridian",9],PARAMETER["scale_factor",0.9996],PARAMETER["false_easting",500000],PARAMETER["false_northing",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AUTHORITY["EPSG","25832"]]
#Label	X/Easting	Y/Northing	Z/Altitude	Yaw	Pitch	Roll
100_0002_0120.JPG	719935.916629	6192017.469602	124.570072	210.000000	0.100000	-0.000000
100_0002_0121.JPG	719932.139031	6192009.719014	124.580072	210.100000	0.100000	-0.000000
100_0002_0122.JPG	719928.084977	6192001.825052	124.540072	210.500000	0.100000	-0.000000
100_0002_0123.JPG	719924.309781	6191994.038914	124.480072	209.800000	0.100000	-0.000000
100_0002_0124.JPG	719920.495788	6191986.200634	124.460072	209.500000	0.100000	-0.000000
100_0002_0125.JPG	719916.603504	6191978.457623	124.510072	209.800000	0.100000	-0.000000
100_0002_0126.JPG	719912.701726	6191970.505623	124.490072	209.600000	0.100000	-0.000000
100_0002_0127.JPG	719908.973165	6191962.640472	124.430072	209.300000	0.100000	-0.000000
100_0002_0128.JPG	719905.374872	6191954.780822	124.420072	209.600000	0.000000	-0.000000
100_0002_0129.JPG	719901.661687	6191947.007893	124.390072	209.900000	0.100000	-0.000000
100_0002_0130.JPG	719897.665225	6191939.126927	124.480072	209.500000	0.100000	-0.000000
100_0002_0131.JPG	719893.863136	6191931.423087	124.440072	210.000000	0.100000	-0.000000
100_0002_0132.JPG	719889.836272	6191923.596340	124.480072	210.000000	0.100000	-0.000000
100_0002_0133.JPG	719885.939581	6191915.814116	124.490072	210.200000	0.100000	-0.000000
100_0002_0134.JPG	719882.249403	6191907.982165	124.430072	210.000000	0.100000	-0.000000
100_0002_0135.JPG	719878.380039	6191900.155620	124.420072	210.500000	0.100000	-0.000000
100_0002_0136.JPG	719875.877247	6191898.994971	124.460072	312.100000	0.100000	-0.000000
100_0002_0137.JPG	719874.642965	6191907.669740	124.360072	349.500000	0.100000	-0.000000
100_0002_0138.JPG	719872.980192	6191916.154393	124.330072	351.500000	0.100000	-0.000000
100_0002_0139.JPG	719871.442583	6191924.770283	124.300072	352.500000	0.100000	-0.000000
100_0002_0140.JPG	719871.969345	6191933.401732	124.370072	16.800000	0.100000	-0.000000
100_0002_0141.JPG	719875.994297	6191941.105710	124.470072	29.400000	0.100000	-0.000000
100_0002_0142.JPG	719879.750939	6191948.963331	124.540072	29.700000	0.100000	-0.000000
100_0002_0143.JPG	719883.526066	6191956.827470	124.480072	29.100000	0.100000	-0.000000
100_0002_0144.JPG	719887.288286	6191964.488023	124.450072	29.000000	0.100000	-0.000000
100_0002_0145.JPG	719891.172369	6191972.332054	124.520072	28.800000	0.100000	-0.000000
100_0002_0146.JPG	719895.104681	6191980.128362	124.560072	28.900000	0.100000	-0.000000
